"%s was successfully added to your shopping cart.","قد نجحت في اضافة %s إلى عربة التسوق الخاصة بك."
"Edit Address","تحرير العنوان"
"Edit Billing Address","تحرير عنوان دفع الفاتورة"
"Edit Items","تحرير المنتج"
"Edit Shipping Address","تحرير عنوان الشحن"
"Edit Terms and Conditions","تحرير الشروط والأحكام"
"Edit Your Cart","تحرير عربة التسوق خاصتك"
"Email Address","البريد الإلكتروني"
"Enable Terms and�Conditions","تفعيل الشروط والأحكام"
"Enabled","مفعل"
"Enter a New Address","أدخل عنوان جديد"
"Enter your coupon code if you have one.","إذا كنت تملك كوبونا فقم بإدخال الكود."
"Enter your destination to get a shipping estimate.","قم بإدخال وجهتك حتى تحصل على تقدير للشحن."
"Error while deleting this condition. Please try again later.","خطأ عند حذف هذا الشرط. الرجاء المحاولة فيما بعد"
"Error while saving this condition. Please try again later.","خطأ عند خزن هذا الشرط. الرجاء المحاولة فيما بعد"
"Estimate Shipping and Tax","تقدير الشحن والضريبة"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","إنهاء شراء سريع وسهل"
"Fax","فاكس"
"Forgot an Item?","هل نسيت منتجة؟"
"Forgot your password?","هل نسيت كلمة المرور؟"
"Get a Quote","احصل على اقتباس"
"Grand Total:","المجموع الكلي:"
"Grouped product image","جمع صور المنتجات"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","بيانات غير صحيحة"
"Invalid email address ""%s""","بريد ألكتروني غير صالح"
"Invalid shipping method.","طريقة شحن غير صحيحة."
"Items","المنتج"
"Load customer quote error","تحميل خطأ اقتباس العميل"
"Loading next step...","تحميل الخطوة التالية ..."
"Login","تسجيل الدخول"
"Manage Checkout Terms and Conditions","إدارة شروط الخروج للأحكام والشروط"
"Maximum display Recently added item(s)","أقصى عرض البند/البنود أدرجت حديثا"
"Maximum qty allowed for Shipping to multiple addresses is %s","الكمية القصوى المسموح بها للشحن إلى عدة عناوين هي %s"
"Move to Wishlist","الذهاب الى قائمة المفضلة"
"My Account","حسابي"
"My Cart","عربتي"
"My Cart (%s item)","عربة التسوق خاصتي (%s منتجة)"
"My Cart (%s items)","عربة التسوق خاصتي (%s منتج)"
"My Cart Link","وصلة سلتي"
"New Address","عنوان جديد"
"New Condition","شرط جديد"
"Order #","طلب  #"
"Order Review","مراجعة طلب الشراء"
"Order Success","نجاح طلب الشراء"
"Other items in your order","المنتجات الأخرى في طلبك"
"Password","كلمة المرور"
"Payment Failed Email Reciever","فشل الدفع المتلقي البريد الإلكتروني"
"Payment Failed Email Sender","فشل الدفع المرسل البريد الإلكتروني"
"Payment Failed Emails","فشل الدفع البريد الإلكتروني"
"Payment Failed Template","نموذج فشل الدفع"
"Payment Information","بيانات الدفع"
"Payment Method","طريقة الدفع"
"Payment method is not defined","طريقة الدفع غير معرفة"
"Place Order","مكان الطلب"
"Please <a href=""%s"">continue shopping</a>.","لطفا <a href=""%s"">اكمل التسوق</a>."
"Please agree to all Terms and Conditions before placing the order.","يرجى الموافقة على جميع البنود والشروط قبل اتمام الطلب."
"Please agree to all Terms and Conditions before placing the orders.","يرجى الموافقة على جميع البنود والشروط قبل اتمام الطلب."
"Please enter a valid zip code. For example 90602 or 90602-1234.","الرجاء إدخال الرمز البريدي. فعلى سبيل المثال 90602 او 90602-12344."
"Please log in below:","من فضلك قم بتسجيل الدخول بالأسفل:"
"Please select region, state or province","إختر المحافظة"
"Please select shipping address for applicable items","الرجاء إختيار عنوان الشحن للبنود المطبقة"
"Please select shipping methods for all addresses","من فضلك قم باختيار طرق الشحن لكل العناوين"
"Price","السعر"
"Proceed to Checkout","المواصلة لإنهاء الشراء"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product does not exist","المنتج غير موجود"
"Qty","الكمية"
"Quote Lifetime (days)","اقتبس من العمر (أيام)"
"Recently added item(s)","المنتجة/المنتج المضافة حديثا"
"Register","التسجيل"
"Register and save time!","قم بالتسجيل ووفر الوقت!"
"Register to Create an Account","قم بالتسجيل لإنشاء حساب"
"Register with us for future convenience:","سجل معنا في المستقبل لراحة:"
"Remove","إزالة"
"Remove Item","إزالة منتجة"
"Remove Product","إزالة منتج"
"Remove item","إزالة البند"
"Review Order","مراجعة طلب الشراء"
"Review Order - %s","مراجعة طلب الشراء - %s"
"Sales","مبيعات"
"Save Condition","خزن الشرط"
"Save in address book","حفظ في دفتر العناوين"
"Select Address","اختيار عنوان"
"Select Addresses","اختيار عناوين"
"Select Shipping Method","اختيار طريقة الشحن"
"Select State/Province...","اختيار الولاية/المقاطعة..."
"Select a billing address from your address book or enter a new address.","اختر عنوان الفاتوره من دفتر العناوين الخاص بك ، او ادخال عنوان جديد."
"Select a shipping address from your address book or enter a new address.","اختر عنوان الشحن من دفتر العناوين الخاص بك ، او ادخال عنوان جديد."
"Send Payment Failed Email Copy Method","فشل ارسال الدفع إرسال نسخة للبريد الألكتروني"
"Send Payment Failed Email Copy To","فشل إرسال الدفع إرسل نسخة للبريد الألكتروني"
"Send to","إرسال إلى"
"Ship to Multiple Addresses","الشحن إلى عدة عناوين"
"Ship to different address","الشحن إلى عنوان مختلف"
"Ship to this address","الشحن إلى هذا العنوان"
"Shipping Address","عنوان الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Methods","طرق الشحن"
"Shipping method has not been selected yet","لم يتم اختيار طريقة الشحن حتى الآن"
"Shipping selection is not applicable","إختيار الشحن غير قابل للتطبيق"
"Shipping to","الشحن إلى"
"Shopping Cart","عربة التسوق"
"Shopping Cart Sidebar","الشريط الجانبي لعربة التسوق"
"Shopping Cart is Empty","عربة التسوق فارغة"
"Show Content as","عرض المحتوى كـ"
"Some of the products you requested are not available in the desired quantity","بعض المنتجات التي طلبتها غير متاحة بالكمية المطلوبة"
"Some of the products you requested are unavailable","بعض المنتجات التي طلبتها غير موجودة"
"Sorry, Onepage Checkout is disabled.","عذرا الدفع غير مفعل في Onepage"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","عذرا الدفع غير مفعل للضيوف. الرجاء المحاولة مرة اخرى او الاتصال بنا."
"Sorry, no quotes are available for this order at this time.","عذرا ، لايوجد حالة لهذا الطلب حاليا.  "
"State/Province","المحافظة"
"Status","الحالة"
"Store View","عرض المتجر"
"Street Address","عنوان الشارع"
"Street Address ","عنوان الشارع"
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Subtotal","المجموع الفرعي"
"Telephone","هاتف"
"Terms and Conditions","الشروط والأحكام"
"Terms and Conditions Information","معلومات الشروط والأحكام"
"Terms and conditions","الشروط والأحكام"
"Text","Text"
"Thank you for your purchase!","شكرا لك على الشراء!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","هناك <a href=""%s""><strong>%s عناصر</strong></a> في سلتك."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","عناك <a href=""%s""><strong>1 عنصر</strong></a> في سلتك."
"There is already a customer registered using this email address","يوجد بالفعل عميل مسجل بهذا البريد الإلكتروني"
"There was an error processing your order. Please contact us or try again later.","كان هناك خطأ تجهيز طلبك. يرجى الاتصال بنا او المحاوله مرة اخرى فى وقت لاحق."
"This condition no longer exists","الشرط غير متوفر بعد الان"
"Total","مجموع"
"Total for this address","مجموع لهذا العنوان"
"Unit Price","سعر الوحدة"
"Update Qty &amp; Addresses","تحديث الكمية والعناوين"
"Update Shopping Cart","تحديث عربة التسوق"
"Update Total","تحديث الإجمالي"
"Use Billing Address","استخدام عنوان الدفع"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ونحن على تجهيز طلبك وكنت قريبا مع تلقيت عبر البريد الالكتروني من اجل التفاصيل. مرة واحدة الامر شحنت ستتلقي رسالة الكترونيه اخرى مع وصلة لتتبع التقدم المحرز."
"You have no items in your shopping cart.","لا يوجد لديك أي منتج في عربة التسوق."
"You will receive an order confirmation email with details of your order and a link to track its progress.","سوف تتلقى  رسالة بالبريد الالكتروني لتاكيد طلبك مع تفاصيل لطلبك و وصلة لمتابعة التقدم المحرز ."
"Your Checkout Progress","الخروج من التقدم الخاصة بك"
"Your order # is: %s","رقم طلبك هو: %s"
"Your order # is: <a href=""%s"">%s</a>","رقم طلبك هو   # is: <a href=""%s"">%s</a>"
"Your order has been received.","تم استلام طلبك"
"Your order number is ","رقم طلبك هو"
"Zip/Postal Code","الرمز البريدي"
"osCommerce Orders","طلبات نظام osCommerce"
"separate by "",""","مفصولة ب "","""
"My Cart","سلتي"
"You have no items in your shopping cart.","لايوجد منتجات في عربة التسوق الخاصة بك"
"Checkout","المواصلة لإنهاء الشراء"
"Shopping Cart is Empty","عربة التسوق فارغة"
"Please <a href=""%s"">continue shopping</a>.","الرجاء <a href=""%s""> تابع التسوق</a>"
"We are sorry for not being able to ship to your country at the moment, please contact us for any further inquiries.","نعتذر، لا يمكننا الشحن الى دولتك في الوقت الحاضر!"
"Please send us your mobile number and Name when the transfer done, through the following <a href="%s" onclick="this.target=\'_blank\'">Contact Us form</a>","عند قيامك بالتحويل عند قيامك بالتحويل، نرجو منك ارسال رقم هاتفك او موبايلك مع الاسم لنقوم بتاكيد التحويل عبرة الوصلة التالية اتصل بنا"
"Note:","ملاحظة:"
"Please send us your mobile number and Name when the transfer done, through the following","عند قيامك بالتحويل، نرجو منك ارسال رقم هاتفك او موبايلك مع الاسم لنقوم بتاكيد التحويل عبرة الوصلة التالية"
"Contact Us form"," نموذج اتصل بنا"
"Click","انقر هنا "
"a copy of your order confirmation.","نسخة عن تاكيد طلبك"
"here to print","للطباعة"
"Mobile","رقم الموبايل"
"Need Helps ?","هل تحتاج إلى مساعدة؟"
"24Protein","بروتين24"
"Please select State/Province for shipping","الرجاء اختيار المحافظة!"
"here"," هنا"
"Select Province","إختر المحافظة"
"*Required fields.","* حقول مطلوبة"
